Output Name,Data Type,Description
pango_lineage,String,Pango lineage as determined by Pangolin
pango_lineage_log,File,Tsv file listing Pango lineage calls and versions analyzed samples
pango_lineage_report,File,Full Pango lineage report generated by Pangolin
pangolin_assignment_version,String,Version of the pangolin software (e.g. PANGO or PUSHER) used for lineage assignment
pangolin_conflicts,String,Number of lineage conflicts as determined by Pangolin
pangolin_docker,String,Docker image used to run Pangolin
pangolin_notes,String,Lineage notes as determined by Pangolin
pangolin_update_analysis_date,String,Date of analysis
pangolin_update_version,String,Version of the Public Health Viral Genomics (PHVG) repository used
pangolin_updates,String,Result of Pangolin Update (lineage changed versus unchanged) with lineage assignment and date of analysis
pangolin_versions,String,All Pangolin software and database versions
