Task,Variable Name,Data Type,Description,Default
augur_mask_sites,docker,String,Docker image used to mask unwanted sites,Default from nextstrain/base:build-20220111T004537Z
augur_mask_sites,mask_bed,File,BED file listing unwanted positions to mask from alignment or SNP table. See https://nextstrain-augur.readthedocs.io/en/stable/usage/cli/mask.html,None
dedup_seqs,docker,String,Docker image used to deduplicate sequences,Default from nextstrain/base:build-20220111T004537Z
dedup_seqs,error_on_seq_diff,Boolean,Option to raise an error if samples with duplicate sequence IDs but different sequences are detected,false
dedup_seqs,nextstrain_ncov_repo_commit,String,Nextstrain Github respository used to deduplicate sequences,cf79e41d4178608bda4b084080f0ffff5b3da61c
derived_cols,docker,String,Docker image used to create derivative columns in nextstrain metadata file,quay.io/broadinstitute/viral-core:2.1.33
derived_cols,lab_highlight_loc,String,"This option copies the 'originating_lab' and 'submitting_lab' columns to new ones including a prefix, but only if they match certain criteria. The value of this string must be of the form prefix;col_header=value:col_header=value. For example, 'MA;country=USA:division=Massachusetts' will copy the originating_lab and submitting_lab columns to MA_originating_lab and MA_submitting_lab, but only for those rows where country=USA and division=Massachusetts.",None
derived_cols,table_map,Array[File],"Mapping tables. Each mapping table is a tsv with a header. The first column is the output column name for this mapping (it will be created or overwritten). The subsequent columns are matching criteria. The value in the first column is written to the output column. The exception is in the case where all match columns are '*' -- in this case, the value in the first column is the column header name to copy over.",?
draft_augur_tree,cpus,Int,CPUs allocated to tree building,64
draft_augur_tree,docker,String,Docker image used for tree building,Default from nextstrain/base:build-20220111T004537Z
draft_augur_tree,exclude_sites,File,Sites to exclude during tree building,None
draft_augur_tree,method,String,Algorithm to infer phylogenetic tree,iqtree
draft_augur_tree,substitution_model,String,Base substitution model used for tree building,General Time-Reversible (GTR) Substitution Model
draft_augur_tree,tree_builder_args,String,Additional arguments for tree builder,None
draft_augur_tree,vcf_reference,File,fasta file of the sequence the VCF was mapped to,None
filter_sequences_by_length,docker,String,Docker image used to filter sequences by length,quay.io/broadinstitute/viral-core:2.1.33
mafft,batch_chunk_size,Int,Batch chunk size used by mafft_one_chr_chunked task,2000
mafft,cpus,Int,CPUs allocated to multiple sequence alignment,64
mafft,docker,String,Docker image used for multiple sequence alignment using mafft,quay.io/broadinstitute/viral-phylo:2.1.19.1
mafft,mem_size,Int,Memory allocated to multiple sequence alignment,500
mafft,remove_reference,Boolean,Option to remove reference sequence from alignment,false
mafft,threads_per_job,Int,Threads used for multiple sequence alignment by mafft,2
nextstrain_ncov_defaults,docker,String,Docker image used for Nextstrain ncov defaults,Default from nextstrain/base:build-20220111T004537Z
nextstrain_ncov_defaults,nextstrain_ncov_repo_commit,String,Nextstrain Github repository used to get Nextstrain ncov defaults,cf79e41d4178608bda4b084080f0ffff5b3da61c
snp_sites,allow_wildcard_bases,Boolean,Boolean option to allow wildcard bases,true
snp_sites,docker,String,Docker image used for snp_sites task,quay.io/biocontainers/snp-sites:2.5.1--hed695b0_0
subsample,docker,String,Docker image used to filter and subsample a sequence set using a Nextstrain 'build.yaml' file (nextstrain_build_sample task),Default from nextstrain/base:build-20220111T004537Z
subsample,keep_list,File,Hard inclusion list for sequence set,None
subsample,machine_mem_gb,Int,Memory allocated to filtering and subsampling a sequence set,50
subsample,nextstrain_ncov_repo_commit,String,Nextstrain Github repository used to filter and subsample a sequence set using a Nextstrain 'build.yaml' file,cf79e41d4178608bda4b084080f0ffff5b3da61c
subsample,parameters_yaml,File,"YAML-formatted nextstrain parameter override definitions.",https://github.com/nextstrain/ncov/blob/master/defaults/parameters.yaml
theiacov_distance_tree,builds_yaml,File,"YAML-formatted nextstrain 'build' definitions. See https://docs.nextstrain.org/en/latest/tutorials/SARS-CoV-2/steps/customizing-analysis.html#custom-subsampling-schemes for details.",https://github.com/nextstrain/ncov/blob/master/my_profiles/example/builds.yaml
theiacov_distance_tree,min_unambig_genome,Int,Minimum number of called bases in genome to pass prefilter,27000
theiacov_distance_tree,ref_fasta,File,A reference assembly (not included in assembly_fastas) to align assembly_fastas against,Default reference fasta from Nextstrain 
tsv_join,machine_mem_gb,Int,Memory allocated to combining sample metadata,7
tsv_join,out_suffix,String,Suffix for combined sample metadata file from tsv_join task,".txt"
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
zcat,cpus,Int,CPUs allocated to combining input files using zcat,4
