Task,Variable Name,Data Type,Description,Default
consensus,cpu,Int,CPU resources allocated to the Artic Medaka task runtime environment,8
consensus,medaka_model,String,Model for consensus genome assembly via Medaka,r941_min_high_g360
consensus,reference_genome,File,Path to the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/artic-ncov2019/primer_schemes/nCoV-2019/V3/nCoV-2019.reference.fasta
fastq_scan_clean_reads,read1_name,String,Name of the sample being analyzed,Inferred from the input read file 
fastq_scan_raw_reads,read1_name,String,Name of the sample being analyzed,Inferred from the input read file
kraken2_dehosted,cpu,Int,CPU resources allocated to the Kraken task runtime environment for asessing dehosted read data,4
kraken2_dehosted,kraken2_db,String,Path to the reference genome within the staphb/kraken2:2.0.8-beta_hv Docker container,/kraken2-db
kraken2_dehosted,read2,File,Optional input file for the Kraken task that is not applicable to this workflow,None
kraken2_raw,cpu,Int,CPU resources allocated to the Kraken task runtime environment for asessing raw read data,4
kraken2_raw,kraken2_db,String,Path to the reference genome within the staphb/kraken2:2.0.8-beta_hv Docker container,/kraken2-db
kraken2_raw,read2,File,Optional input file for the Kraken task that is not applicable to this workflow,None
ncbi_scrub_se,docker,String,Docker tag used for running the NCBI SRA Human-Scruber tool,gcr.io/ncbi-sys-gcr-public-research/sra-human-scrubber@sha256:b7dba71079344daea4ea3363e1a67fa54edb7ec65459d039669c68a66d38b140
nextclade_one_sample,auspice_reference_tree_json,File,The phylogenetic reference tree which serves as a target for phylogenetic placement,null
nextclade_one_sample,docker,String,Docker tag used for running NextClade,nextstrain/nextclade:1.11.0
nextclade_one_sample,gene_annotations_json,File,A table describing the genes of the virus,null
nextclade_one_sample,pcr_primers_csv,File,A table that describes a set of PCR primers that might be used for PCR tests of the virus,null
nextclade_one_sample,qc_config_json,File,A set of parameters and thresholds used to configure the QC checks,null
nextclade_one_sample,root_sequence,File,Viral nucleotide sequence which serves as a reference for alignment and the analysis,null
nextclade_one_sample,virus_properties,File,Private mutations are split into 3 categories. This json file indicates which label to attach to mutations,null
nextclade_output_parser_one_sample,docker,String,Docker tag used for parsing NextClade output,python:slim
pangolin4,analysis_mode,String,pangolin inference engine for lineage designations (UShER or pangolearn),UShER
pangolin4,docker,String,Docker tag used for running Pangolin,staphb/pangolin:4.0.6-pdata-1.8
pangolin4,min_length,Int,Minimum query length allowed for pangolin to attempt assignment,10000
pangolin4,max_ambig,Float,Maximum proportion of Ns allowed for pangolin to attempt assignment,0.5
pangolin4,pangolin_arguments,String,Optional arguments for pangolin e.g. "--skip-scorpio",null
stats_n_coverage,s_gene_start,Int,Starting position of S gene for S gene coverage calculations pre primer trimming,21563
stats_n_coverage,s_gene_stop,Int,Stopping position of S gene for S gene coverage calculations pre primer trimming,25384
stats_n_coverage_primtrim,s_gene_start,Int,Starting position of S gene for S gene coverage calculations post primer trimming,21563
stats_n_coverage_primtrim,s_gene_stop,Int,Stopping position of S gene for S gene coverage calculations post primer trimming,25384
theiacov_clearlabs,medaka_docker,String,Docker tag used for running Medaka assembler,quay.io/staphb/artic-ncov2019-epi2me
theiacov_clearlabs,nextclade_dataset_name,String,Nextclade organism dataset,sars-cov-2
theiacov_clearlabs,nextclade_dataset_reference,String,Nextclade reference genome,MN908947
theiacov_clearlabs,nextclade_dataset_tag,String,Nextclade dataset tag,2022-04-28T12:00:00Z
theiacov_clearlabs,normalise,Int,Value to normalize read counts,20000
theiacov_clearlabs,seq_method,String,Description of the sequencing methodology used to generate the input read data,ONT via Clear Labs WGS
vadr,docker,String,Docker tag used for running VADR,quay.io/staphb/1.4.1-models-1.3-2
vadr,maxlen,Int,Maximum length for the fasta-trim-terminal-ambigs.pl VADR script,30000
vadr,minlen,Int,Minimum length subsequence to possibly replace Ns for the fasta-trim-terminal-ambigs.pl VADR script,50
vadr,skip_length,Int,Minimum assembly length (unambiguous) to run vadr,10000
vadr,vadr_opts,String,Options for the v-annotate.pl VADR script,"--noseqnamemax --glsearch -s -r --nomisc --mkey sarscov2 --lowsim5seq 6 --lowsim3seq 6 --alt_fail lowscore,insertnn,deletinn"
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
