Task,Variable Name,Data Type,Description,Default
nextclade_one_sample,docker,String,Docker tag used for running NextClade,nextstrain/nextclade:1.10.3
nextclade_output_parser_one_sample,docker,String,Docker tag used for parsing NextClade output,python:slim
pangolin3,docker,String,Docker tag used for running Pangolin,quay.io/staphb/3.1.20-pangolearn-2022-02-02
pangolin3,inference_engine,String,pangolin inference engine for lineage designations (usher or pangolarn),usher
pangolin3,max_ambig,Float,Maximum proportion of Ns allowed for pangolin to attempt assignment,0.5
pangolin3,min_length,Int,Minimum query length allowed for pangolin to attempt assignment,10000
titan_fasta,nextclade_dataset_name,String,Nextclade organism dataset,sars-cov-2
titan_fasta,nextclade_dataset_reference,String,Nextclade reference genome,MN908947
titan_fasta,nextclade_dataset_tag,Nextclade dataset tag,2022-02-07T12:00:00Z
vadr,docker,String,Docker tag used for running VADR,quay.io/staphb/1.4.1-models-1.3-2
vadr,maxlen,Int,Maximum length for the fasta-trim-terminal-ambigs.pl VADR script,30000
vadr,minlen,Int,Minimum length subsequence to possibly replace Ns for the fasta-trim-terminal-ambigs.pl VADR script,50
vadr,skip_length,Int,Minimum assembly length (unambiguous) to run vadr,10000
vadr,vadr_opts,String,Options for the v-annotate.pl VADR script,"--glsearch -s -r --nomisc --mkey sarscov2 --alt_fail lowscore,fstukcnf,insertnn,deletinn --mdir /opt/vadr/vadr-models/"
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
