Task	Variable Name	Data Type	Description	Default
nextclade_one_sample	auspice_reference_tree_json	File	The phylogenetic reference tree which serves as a target for phylogenetic placement	default is inherited from nextclade dataset
nextclade_one_sample	docker	String	Docker tag used for running NextClade	nextstrain/nextclade:1.11.0
nextclade_one_sample	gene_annotations_json	File	A table describing the genes of the virus	default is inherited from nextclade dataset
nextclade_one_sample	pcr_primers_csv	File	A table that describes a set of PCR primers that might be used for PCR tests of the virus	default is inherited from nextclade dataset
nextclade_one_sample	qc_config_json	File	A set of parameters and thresholds used to configure the QC checks	default is inherited from nextclade dataset
nextclade_one_sample	root_sequence	File	Viral nucleotide sequence which serves as a reference for alignment and the analysis	default is inherited from nextclade dataset
nextclade_one_sample	virus_properties	File	Private mutations are split into 3 categories. This json file indicates which label to attach to mutations	default is inherited from nextclade dataset
nextclade_output_parser_one_sample	docker	String	Docker tag used for parsing NextClade output	python:slim
pangolin4	analysis_mode	String	pangolin inference engine for lineage designations (UShER or pangolearn)	UShER
pangolin4	docker	String	Docker tag used for running Pangolin	staphb/pangolin:4.0.6-pdata-1.8
pangolin4	max_ambig	Float	Maximum proportion of Ns allowed for pangolin to attempt assignment	0.5
pangolin4	min_length	Int	Minimum query length allowed for pangolin to attempt assignment	10000
pangolin4	pangolin_arguments	String	Optional arguments for pangolin	null
theiacov_fasta	nextclade_dataset_name	String	Nextclade organism dataset	sars-cov-2
theiacov_fasta	nextclade_dataset_reference	String	Nextclade reference genome	MN908947
theiacov_fasta	nextclade_dataset_tag	String	Nextclade dataset tag	2022-04-28T12:00:00Z
vadr	docker	String	Docker tag used for running VADR	quay.io/staphb/1.4.1-models-1.3-2
vadr	maxlen	Int	Maximum length for the fasta-trim-terminal-ambigs.pl VADR script	30000
vadr	minlen	Int	Minimum length subsequence to possibly replace Ns for the fasta-trim-terminal-ambigs.pl VADR script	50
vadr	skip_length	Int	Minimum assembly length (unambiguous) to run vadr	10000
vadr	vadr_opts	String	Options for the v-annotate.pl VADR script	''--glsearch -s -r --nomisc --mkey sarscov2 --alt_fail lowscore,fstukcnf,insertnn,deletinn --mdir /opt/vadr/vadr-models/''
version_capture	timezone	String	User time zone in valid Unix TZ string (e.g. America/New_York)	None
