Task,Variable Name,Data Type,Description,Default
bwa,cpu,Int,CPU resources allocated to the BWA task runtime environment,6
consensus,char_unknown,String,Character to print in regions with less than minimum coverage for iVar consensus,N
consensus,count_orphans,Boolean,Do not skip anomalous read pairs in variant calling for SAMtools mpileup before running iVar consensus,TRUE
consensus,disable_baq,Boolean,Disable read-pair overlap detection for SAMtools mpileup before running iVar consensus,TRUE
consensus,max_depth,Int,Maximum reads read at a position per input file for SAMtools mpileup before running iVar consensus,600000
consensus,min_bq,Int,Minimum mapping quality for an alignment to be used for SAMtools mpileup before running iVar consensus,0
consensus,min_freq,Float,Minimum frequency threshold(0 - 1) to call variants for iVar consensus,0.6
consensus,min_qual,Int,Minimum quality threshold for sliding window to pass for iVar consensus,20
nextclade_one_sample,auspice_reference_tree_json,File,The phylogenetic reference tree which serves as a target for phylogenetic placement,default is inherited from nextclade dataset
nextclade_one_sample,docker,String,Docker tag used for running NextClade,nextstrain/nextclade:1.11.0
nextclade_one_sample,gene_annotations_json,File,A table describing the genes of the virus,default is inherited from nextclade dataset
nextclade_one_sample,pcr_primers_csv,File,A table that describes a set of PCR primers that might be used for PCR tests of the virus,default is inherited from nextclade dataset
nextclade_one_sample,qc_config_json,File,A set of parameters and thresholds used to configure the QC checks,default is inherited from nextclade dataset
nextclade_one_sample,root_sequence,File,Viral nucleotide sequence which serves as a reference for alignment and the analysis,default is inherited from nextclade dataset
nextclade_one_sample,virus_properties,File,Private mutations are split into 3 categories. This json file indicates which label to attach to mutations,default is inherited from nextclade dataset
nextclade_output_parser_one_sample,docker,String,Docker tag used for parsing NextClade output,python:slim
pangolin4,analysis_mode,String,pangolin inference engine for lineage designations (UShER or pangolearn),UShER
pangolin4,docker,String,Docker tag used for running Pangolin,staphb/pangolin:4.0.6-pdata-1.8
pangolin4,min_length,Int,Minimum query length allowed for pangolin to attempt assignment,10000
pangolin4,max_ambig,Float,Maximum proportion of Ns allowed for pangolin to attempt assignment,0.5
pangolin4,pangolin_arguments,String,Optional arguments for pangolin e.g. "--skip-scorpio",null
primer_trim,keep_noprimer_reads,Boolean,Include reads with no primers for iVar trim,True
read_QC_trim,bbduk_mem,Int,Memory allocated to the BBDuk VM,8
read_QC_trim,trimmomatic_minlen,Int,Specifies the minimum length of reads to be kept for Trimmomatic,25
read_QC_trim,trimmomatic_quality_trim_score,Int,Specifies the average quality required for Trimmomatic,30
read_QC_trim,trimmomatic_window_size,Int,Specifies the number of bases to average across for Trimmomatic,4
stats_n_coverage,s_gene_start,Int,Starting position of S gene for S gene coverage calculations pre primer trimming,21563
stats_n_coverage,s_gene_stop,Int,Stopping position of S gene for S gene coverage calculations pre primer trimming,25384
stats_n_coverage_primtrim,s_gene_start,Int,Starting position of S gene for S gene coverage calculations post primer trimming,21563
stats_n_coverage_primtrim,s_gene_stop,Int,Stopping position of S gene for S gene coverage calculations post primer trimming,25384
theiacov_illumina_pe,min_depth,Int,Minimum read depth to call variants for iVar consensus and iVar variants,100
theiacov_illumina_pe,nextclade_dataset_name,String,Nextclade organism dataset,sars-cov-2
theiacov_illumina_pe,nextclade_dataset_reference,String,Nextclade reference genome,MN908947
theiacov_illumina_pe,nextclade_dataset_tag,String,Nextclade dataset tag,2022-04-28T12:00:00Z
theiacov_illumina_pe,reference_genome,String,Path to the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/artic-ncov2019/primer_schemes/nCoV-2019/V3/nCoV-2019.reference.fasta
theiacov_illumina_pe,seq_method,String,Description of the sequencing methodology used to generate the input read data,Illumina paired-end
vadr,docker,String,Docker tag used for running VADR,quay.io/staphb/1.4.1-models-1.3-2
vadr,maxlen,Int,Maximum length for the fasta-trim-terminal-ambigs.pl VADR script,30000
vadr,minlen,Int,Minimum length subsequence to possibly replace Ns for the fasta-trim-terminal-ambigs.pl VADR script,50
vadr,skip_length,Int,Minimum assembly length (unambiguous) to run vadr,10000
vadr,vadr_opts,String,Options for the v-annotate.pl VADR script,"--glsearch -s -r --nomisc --mkey sarscov2 --alt_fail lowscore,fstukcnf,insertnn,deletinn --mdir /opt/vadr/vadr-models/"
variant_call,count_orphans,Boolean,Do not skip anomalous read pairs in variant calling for SAMtools mpileup before running iVar variants,TRUE
variant_call,disable_baq,Boolean,Disable read-pair overlap detection for SAMtools mpileup before running iVar variants,TRUE
variant_call,max_depth,Int,Maximum reads read at a position per input file for SAMtools mpileup before running iVar variants,600000
variant_call,min_bq,Int,Minimum mapping quality for an alignment to be used for SAMtools mpileup before running iVar variants,0
variant_call,min_freq,Float,Minimum frequency threshold(0 - 1) to call variants for iVar variants,0.6
variant_call,min_qual,Int,Minimum quality threshold for sliding window to pass for iVar variants,20
variant_call,reference_gff,String,Path to the general feature format of the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/reference/GCF_009858895.2_ASM985889v3_genomic.gff
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
