Task,Variable Name,Data Type,Description,Default
bwa,reference_genome,String,Path to the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/artic-ncov2019/primer_schemes/nCoV-2019/V3/nCoV-2019.reference.fasta
bwa,cpus,Int,CPU resources allocated to the BWA task runtime environment,6
bwa,read2,File,Optional input file for the Kraken task that is not applicable to this workflow,None
consensus,char_unknown,String,Character to print in regions with less than minimum coverage for iVar consensus,N
consensus,count_orphans,Boolean,Do not skip anomalous read pairs in variant calling for SAMtools mpileup before running iVar consensus,TRUE
consensus,disable_baq,Boolean,Disable read-pair overlap detection for SAMtools mpileup before running iVar consensus,TRUE
consensus,max_depth,Int,Maximum reads read at a position per input file for SAMtools mpileup before running iVar consensus,600000
consensus,min_bq,Int,Minimum mapping quality for an alignment to be used for SAMtools mpileup before running iVar consensus,0
consensus,min_depth,Int,Minimum read depth to call variants for iVar consensus,10
consensus,min_freq,Float,Minimum frequency threshold(0 - 1) to call variants for iVar consensus,0.6
consensus,min_qual,Int,Minimum quality threshold for sliding window to pass for iVar consensus,20
consensus,ref_genome,String,Path to the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/artic-ncov2019/primer_schemes/nCoV-2019/V3/nCoV-2019.reference.fasta
consensus,ref_gff,String,Path to the general feature format of the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/reference/GCF_009858895.2_ASM985889v3_genomic.gff
nextclade_one_sample,docker,String,Docker tag used for running NextClade,neherlab/nextclade:0.14.2
nextclade_output_parser_one_sample,docker,String,Docker tag used for parsing NextClade output,python:slim
pangolin3,docker,String,Docker tag used for running Pangolin,staphb/pangolin:3.1.11-pangolearn-2021-08-24
pangolin3,inference_engine,String,pangolin inference engine for lineage designations (usher or pangolarn),usher
pangolin3,min_length,Int,Minimum query length allowed for pangolin to attempt assignment,10000
pangolin3,max_ambig,Float,Maximum proportion of Ns allowed for pangolin to attempt assignment,0.5
primer_trim,keep_noprimer_reads,Boolean,Include reads with no primers for iVar trim,True
read_QC_trim,bbduk_mem,Int,Memory allocated to the BBDuk VM,8
read_QC_trim,trimmomatic_minlen,Int,Specifies the minimum length of reads to be kept for Trimmomatic,25
read_QC_trim,trimmomatic_quality_trim_score,Int,Specifies the average quality required for Trimmomatic,30
read_QC_trim,trimmomatic_window_size,Int,Specifies the number of bases to average across for Trimmomatic,4
theiacov_illumina_se,nextclade_dataset_name,String,Nextclade organism dataset,sars-cov-2
theiacov_illumina_se,nextclade_dataset_reference,String,Nextclade reference genome,MN908947
theiacov_illumina_se,nextclade_dataset_tag,Nextclade dataset tag,2021-06-25T00:00:00Z
theiacov_illumina_se,seq_method,String,Description of the sequencing methodology used to generate the input read data,Illumina paired-end
vadr,docker,String,Docker tag used for running VADR,staphb/vadr:1.2.1
vadr,maxlen,Int,Maximum length for the fasta-trim-terminal-ambigs.pl VADR script,30000
vadr,minlen,Int,Minimum length subsequence to possibly replace Ns for the fasta-trim-terminal-ambigs.pl VADR script,50
vadr,skip_length,Int,Minimum assembly length (unambiguous) to run vadr,10000
vadr,vadr_opts,String,Options for the v-annotate.pl VADR script,"--glsearch -s -r --nomisc --mkey sarscov2 --alt_fail lowscore,fstukcnf,insertnn,deletinn --mdir /opt/vadr/vadr-models/"
variant_call,count_orphans,Boolean,Do not skip anomalous read pairs in variant calling for SAMtools mpileup before running iVar variants,TRUE
variant_call,disable_baq,Boolean,Disable read-pair overlap detection for SAMtools mpileup before running iVar variants,TRUE
variant_call,max_depth,Int,Maximum reads read at a position per input file for SAMtools mpileup before running iVar variants,600000
variant_call,min_bq,Int,Minimum mapping quality for an alignment to be used for SAMtools mpileup before running iVar variants,0
variant_call,min_depth,Int,Minimum read depth to call variants for iVar variants,10
variant_call,min_freq,Float,Minimum frequency threshold(0 - 1) to call variants for iVar variants,0.6
variant_call,min_qual,Int,Minimum quality threshold for sliding window to pass for iVar variants,20
variant_call,ref_gff,String,Path to the general feature format of the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/reference/GCF_009858895.2_ASM985889v3_genomic.gff
variant_call,ref_genome,String,Path to the reference genome within the staphb/ivar:1.2.2_artic20200528 Docker container,/artic-ncov2019/primer_schemes/nCoV-2019/V3/nCoV-2019.reference.fasta
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
