Output Name,Data Type,Description
aligned_bai,File,Index companion file to the bam file generated during the consensus assembly process
aligned_bam,File,Primer-trimmed BAM file; generated during conensus assembly process
artic_docker,String,Docker image utilized for read trimming and consensus genome assembly
artic_version,String,Version of the Artic software utilized for read trimming and consensus genome assembly
assembly_fasta,File,Consensus genome assembly
assembly_length_unambiguous,Int,Number of unambiguous basecalls within the SC2 consensus assembly
assembly_mean_coverage,Float,Mean sequencing depth throughout the conesnsus assembly generated after performing primer trimming--calculated using the SAMtools coverage command
assembly_method,String,Method employed to generate consensus assembly
auspice_json,File,Auspice-compatable JSON output generated from NextClade analysis that includes the NextClade default samples for clade-typing and the single sample placed on this tree
consensus_flagstat,File,Output from the SAMtools flagstat command to assess quality of the alignment file (BAM)
consensus_stats,File,Output from the SAMtools stats command to assess quality of the alignment file (BAM)
fastq_scan_version,String,Version of fastq_scan used for read QC analysis
kraken_human,Float,Percent of human read data detected using the Kraken2 software
kraken_human_dehosted,Float,Percent of human read data detected using the Kraken2 software after host removal
kraken_report,File,Full Kraken report
kraken_report_dehosted,File, Full Kraken report after host removal
kraken_sc2,Float,Percent of SARS-CoV-2 read data detected using the Kraken2 software
kraken_sc2_dehosted,Float,Percent of SARS-CoV-2 read data detected using the Kraken2 software after host removal
kraken_version,String,Version of Kraken software used
meanbaseq_trim,Float,Mean quality of the nucleotide basecalls aligned to the reference genome after primer trimming
meanmapq_trim,Float,Mean quality of the mapped reads to the reference genome after primer trimming
medaka_reference,String,Reference genome used by medaka
nextclade_aa_dels,String,Amino-acid deletions as detected by NextClade
nextclade_aa_subs,String,Amino-acid substitutions as detected by NextClade
nextclade_clade,String,NextClade clade designation
nextclade_docker,String,Docker image used to run Nextclade
nextclade_ds_tag,String,Dataset tag used to run Nextclade
nextclade_json,File,NexClade output in JSON file format
nextclade_tsv,File,NextClade output in TSV file format
nextclade_version,String,Version of NextClade software used
num_reads_clean,Int,Number of reads after filtering as determined by fastq_scan
num_reads_raw,Int,Number of reads identified in the input fastq files as determined by fastq_scan
number_Degenerate,Int,Number of degenerate basecalls within the consensus assembly
number_N,Int,Number of fully ambiguous basecalls within the consensus assembly
number_Total,Int,Total number of nucleotides within the consensus assembly
pango_lineage,String,Pango lineage as determined by Pangolin
pango_lineage_report,File,Full Pango lineage report generated by Pangolin
pangolin_assignment_version,String,Version of the pangolin software (e.g. PANGO or PUSHER) used for lineage asignment
pangolin_conflicts,String,Number of lineage conflicts as determined by Pangolin
pangolin_docker,String,Docker image used to run Pangolin
pangolin_notes,String,Lineage notes as determined by Pangolin
pangolin_versions,String,All Pangolin software and database versions
percent_gene_coverage,File,Percent coverage for each gene in reference genome (assumes WUHAN-1 reference genome)
percent_reference_coverage,Float,"Percent coverage of the reference genome after performing primer trimming; calculated as assembly_length_unambiguous / length of reference genome (SC2: 29,903) x 100"
primer_bed_name,String,Name of the primer bed files used for primer trimming
reads_dehosted,File,De-hosted read files
s_gene_mean_coverage,Float,Mean read depth for S gene
s_gene_percent_coverage,Float,Percent coverage of S gene
samtools_version,String,Version of SAMtools used to sort and index the alignment file
seq_platform,String,Description of the sequencing methodology used to generate the input read data
theiacov_ont_analysis_date,String,Date of analysis
theiacov_ont_version,String,Version of the Public Health Viral Genomics (PHVG) repository used
vadr_alerts_list,File,File containing all of the fatal alerts as determined by VADR
vadr_docker,String,Docker image used to run VADR
vadr_num_alerts,String,Number of fatal alerts as determined by VADR
variants_from_ref_vcf,File,Number of variants relative to the reference genome
